"X","fly","condition","runlength","position","starttime","duration"
29,"cam02_2021-03-19T09_59_15_bottomleft","78E06",53,86530,2884.0696832,1.76634880000029
30,"cam02_2021-03-19T09_59_15_bottomleft","78E06",95,98679,3288.9948544,3.1664767999996
31,"cam02_2021-03-19T09_59_15_bottomleft","78E06",18,100325,3343.8559872,0.600128000000041
0,"cam02_2021-03-19T09_59_15_bottomright","78E06",58,9603,320.100864,1.93419520000003
1,"cam02_2021-03-19T09_59_15_bottomright","78E06",57,9669,322.3015296,1.90259200000003
2,"cam02_2021-03-19T09_59_15_bottomright","78E06",33,9747,324.900992,1.10073600000004
3,"cam02_2021-03-19T09_59_15_bottomright","78E06",24,9787,326.2350208,0.800243200000011
4,"cam02_2021-03-19T09_59_15_bottomright","78E06",246,16715,557.1435008,8.19988479999995
5,"cam02_2021-03-19T09_59_15_bottomright","78E06",78,16968,565.5759616,2.59837440000001
6,"cam02_2021-03-19T09_59_15_bottomright","78E06",322,17658,588.5732992,10.7316352
7,"cam02_2021-03-19T09_59_15_bottomright","78E06",135,17985,599.4735488,4.50282240000001
8,"cam02_2021-03-19T09_59_15_bottomright","78E06",31,18126,604.1723776,1.03128320000008
9,"cam02_2021-03-19T09_59_15_bottomright","78E06",434,21473,715.7280896,14.4661759999999
10,"cam02_2021-03-19T09_59_15_bottomright","78E06",123,21939,731.2603904,4.09835520000001
11,"cam02_2021-03-19T09_59_15_bottomright","78E06",1245,22963,765.3887488,41.4936704
12,"cam02_2021-03-19T09_59_15_bottomright","78E06",12,24220,807.2857088,0.399859200000037
13,"cam02_2021-03-19T09_59_15_bottomright","78E06",7,24240,807.950464,0.233791999999994
14,"cam02_2021-03-19T09_59_15_bottomright","78E06",239,24703,823.3837568,7.96478719999993
15,"cam02_2021-03-19T09_59_15_bottomright","78E06",39,24947,831.5155584,1.30004479999991
16,"cam02_2021-03-19T09_59_15_bottomright","78E06",91,24999,833.2478592,3.0327552
17,"cam02_2021-03-19T09_59_15_bottomright","78E06",387,37285,1242.7397376,12.8982143999999
18,"cam02_2021-03-19T09_59_15_bottomright","78E06",856,38751,1291.6006144,28.5310464000002
19,"cam02_2021-03-19T09_59_15_bottomright","78E06",221,40991,1366.2599552,7.36620800000014
20,"cam02_2021-03-19T09_59_15_bottomright","78E06",114,41221,1373.9262464,3.79994880000004
21,"cam02_2021-03-19T09_59_15_bottomright","78E06",138,41340,1377.8919168,4.59920639999996
22,"cam02_2021-03-19T09_59_15_bottomright","78E06",20,44274,1475.6840576,0.667123199999878
23,"cam02_2021-03-19T09_59_15_bottomright","78E06",9,44298,1476.4827264,0.299968000000035
24,"cam02_2021-03-19T09_59_15_bottomright","78E06",42,44317,1477.116288,1.39989760000003
25,"cam02_2021-03-19T09_59_15_bottomright","78E06",648,48988,1632.7992576,21.5975168
26,"cam02_2021-03-19T09_59_15_bottomright","78E06",16,49651,1654.8962432,0.533798400000023
27,"cam02_2021-03-19T09_59_15_bottomright","78E06",448,49677,1655.7627904,14.9312768
28,"cam02_2021-03-19T09_59_15_bottomright","78E06",38,50405,1680.02752,1.26684159999991
29,"cam02_2021-03-19T09_59_15_bottomright","78E06",1,50457,1681.7611008,0.0339456000001519
30,"cam02_2021-03-19T09_59_15_bottomright","78E06",99,50796,1693.059904,3.30058240000017
31,"cam02_2021-03-19T09_59_15_bottomright","78E06",1190,55202,1839.910912,39.6610175999999
32,"cam02_2021-03-19T09_59_15_bottomright","78E06",27,56396,1879.7071744,0.900070400000004
33,"cam02_2021-03-19T09_59_15_bottomright","78E06",6,56425,1880.673088,0.199667200000022
34,"cam02_2021-03-19T09_59_15_bottomright","78E06",5,56432,1880.9063168,0.166745600000013
35,"cam02_2021-03-19T09_59_15_bottomright","78E06",7,56439,1881.1400192,0.23298560000012
36,"cam02_2021-03-19T09_59_15_bottomright","78E06",3,56448,1881.4395648,0.100300800000014
37,"cam02_2021-03-19T09_59_15_bottomright","78E06",2,56452,1881.573696,0.0671488000000408
38,"cam02_2021-03-19T09_59_15_bottomright","78E06",7,56456,1881.7074944,0.233446399999821
39,"cam02_2021-03-19T09_59_15_bottomright","78E06",4,56467,1882.0727808,0.133158399999957
40,"cam02_2021-03-19T09_59_15_bottomright","78E06",2,56474,1882.3065344,0.0658687999998619
41,"cam02_2021-03-19T09_59_15_bottomright","78E06",13,56480,1882.5072512,0.432985599999938
42,"cam02_2021-03-19T09_59_15_bottomright","78E06",2,56495,1883.0068864,0.0665343999999095
43,"cam02_2021-03-19T09_59_15_bottomright","78E06",44,56498,1883.106112,1.46668799999998
44,"cam02_2021-03-19T09_59_15_bottomright","78E06",9,56544,1884.6399872,0.301056000000017
45,"cam02_2021-03-19T09_59_15_bottomright","78E06",3,56556,1885.0396032,0.099788799999942
46,"cam02_2021-03-19T09_59_15_bottomright","78E06",6299,58902,1963.2319616,209.9446144
47,"cam02_2021-03-19T09_59_15_bottomright","78E06",173,67898,2263.0674432,5.76613120000002
48,"cam02_2021-03-19T09_59_15_bottomright","78E06",463,68628,2287.3993088,15.4314239999999
49,"cam02_2021-03-19T09_59_15_bottomright","78E06",289,69103,2303.2295168,9.6314496
50,"cam02_2021-03-19T09_59_15_bottomright","78E06",133,69397,2313.0286464,4.43251199999986
51,"cam02_2021-03-19T09_59_15_bottomright","78E06",260,70637,2354.3580672,8.6653824
52,"cam02_2021-03-19T09_59_15_bottomright","78E06",83,70899,2363.0900736,2.76610560000017
53,"cam02_2021-03-19T09_59_15_bottomright","78E06",230,70985,2365.956352,7.66552319999983
54,"cam02_2021-03-19T09_59_15_bottomright","78E06",2,71454,2381.5884032,0.06671359999973
55,"cam02_2021-03-19T09_59_15_bottomright","78E06",4,71460,2381.7887488,0.13360640000019
56,"cam02_2021-03-19T09_59_15_bottomright","78E06",158,71471,2382.1546624,5.26602240000011
57,"cam02_2021-03-19T09_59_15_bottomright","78E06",1391,72083,2402.552512,46.3617408
58,"cam02_2021-03-19T09_59_15_bottomright","78E06",801,74555,2484.9441792,26.6956928
59,"cam02_2021-03-19T09_59_15_bottomright","78E06",336,77263,2575.202176,11.1977471999999
60,"cam02_2021-03-19T09_59_15_bottomright","78E06",29,77715,2590.267392,0.966566400000374
61,"cam02_2021-03-19T09_59_15_bottomright","78E06",285,77761,2591.7999104,9.49986559999979
62,"cam02_2021-03-19T09_59_15_bottomright","78E06",8,78852,2628.1629312,0.266521600000033
63,"cam02_2021-03-19T09_59_15_bottomright","78E06",471,78920,2630.429568,15.6990336000003
64,"cam02_2021-03-19T09_59_15_bottomright","78E06",10,79401,2646.4608384,0.333401599999888
65,"cam02_2021-03-19T09_59_15_bottomright","78E06",8,79427,2647.327744,0.266739200000302
66,"cam02_2021-03-19T09_59_15_bottomright","78E06",594,80414,2680.2243072,19.7978496000001
67,"cam02_2021-03-19T09_59_15_bottomright","78E06",333,97285,3242.5328512,11.0989568
68,"cam02_2021-03-19T09_59_15_bottomright","78E06",6,97641,3254.3982208,0.200140800000099
69,"cam02_2021-03-19T09_59_15_bottomright","78E06",52,97664,3255.1650304,1.73277439999993
70,"cam02_2021-03-19T09_59_15_bottomright","78E06",12,97724,3257.1647744,0.400128000000222
71,"cam02_2021-03-19T09_59_15_bottomright","78E06",10,97802,3259.7644416,0.33352960000002
72,"cam02_2021-03-19T09_59_15_bottomright","78E06",160,97872,3262.0979328,5.33314560000008
73,"cam02_2021-03-19T09_59_15_bottomright","78E06",27,98075,3268.8639232,0.900313600000118
74,"cam02_2021-03-19T09_59_15_bottomright","78E06",2,98184,3272.4965888,0.0664064000002327
75,"cam02_2021-03-19T09_59_15_bottomright","78E06",76,98194,3272.830016,2.53309439999975
76,"cam02_2021-03-19T09_59_15_bottomright","78E06",7,98279,3275.6627072,0.233343999999761
77,"cam02_2021-03-19T09_59_15_bottomright","78E06",332,99662,3321.7579008,11.0653695999999
78,"cam02_2021-03-19T09_59_15_bottomright","78E06",18,100022,3333.7565312,0.600064000000202
79,"cam02_2021-03-19T09_59_15_bottomright","78E06",17,100054,3334.8232192,0.566463999999996
0,"cam03_2021-03-19T11_18_20_topleft","78E06",211,51314,1710.323328,7.03261440000006
1,"cam03_2021-03-19T11_18_20_topleft","78E06",1,51890,1729.5213312,0.033164799999895
2,"cam03_2021-03-19T11_18_20_topleft","78E06",94,51902,1729.9212544,3.13303040000005
3,"cam03_2021-03-19T11_18_20_topleft","78E06",146,52674,1755.6519552,4.86617599999999
4,"cam03_2021-03-19T11_18_20_topleft","78E06",13,52832,1760.9180416,0.43329279999989
5,"cam03_2021-03-19T11_18_20_topleft","78E06",15,59881,1995.8607232,0.49983999999995
6,"cam03_2021-03-19T11_18_20_topleft","78E06",131,69853,2328.2263552,4.36648960000002
7,"cam03_2021-03-19T11_18_20_topleft","78E06",244,78024,2600.564608,8.13231360000009
8,"cam03_2021-03-19T11_18_20_topleft","78E06",4,78282,2609.1639808,0.133004799999981
9,"cam03_2021-03-19T11_18_20_topleft","78E06",125,78301,2609.7973248,4.16637439999977
10,"cam03_2021-03-19T11_18_20_topleft","78E06",82,78448,2614.6964736,2.73304319999988
11,"cam03_2021-03-19T11_18_20_topleft","78E06",176,80718,2690.3555072,5.8661376
12,"cam03_2021-03-19T11_18_20_topleft","78E06",9,80898,2696.3547008,0.300147200000083
13,"cam03_2021-03-19T11_18_20_topleft","78E06",184,80992,2699.488,6.13268479999988
14,"cam03_2021-03-19T11_18_20_topleft","78E06",5,89733,2990.8242816,0.166617599999881
15,"cam03_2021-03-19T11_18_20_topleft","78E06",455,95788,3192.636928,15.1654143999999
16,"cam03_2021-03-19T11_18_20_topleft","78E06",13,96246,3207.9019904,0.43330560000004
17,"cam03_2021-03-19T11_18_20_topleft","78E06",8,96268,3208.6350976,0.266636800000015
18,"cam03_2021-03-19T11_18_20_topleft","78E06",167,96285,3209.2017024,5.56608000000006
19,"cam03_2021-03-19T11_18_20_topleft","78E06",265,97284,3242.4984704,8.83199999999988
20,"cam03_2021-03-19T11_18_20_topleft","78E06",170,98350,3278.0279296,5.66594559999976
21,"cam03_2021-03-19T11_18_20_topleft","78E06",401,100122,3337.0884864,13.3650431999999
22,"cam03_2021-03-19T11_18_20_topleft","78E06",3,100911,3363.3857536,0.100070400000277
23,"cam03_2021-03-19T11_18_20_topleft","78E06",889,104314,3476.8073856,29.6299776000001
24,"cam03_2021-03-19T11_18_20_topleft","78E06",2,105218,3506.9377152,0.0664320000000771
25,"cam03_2021-03-19T11_18_20_topleft","78E06",7,105221,3507.0375936,0.23299840000027
26,"cam03_2021-03-19T11_18_20_topleft","78E06",13,105432,3514.0703872,0.433523200000309
27,"cam03_2021-03-19T11_18_20_topleft","78E06",11,105473,3515.4368896,0.36657920000016
28,"cam03_2021-03-19T11_18_20_topleft","78E06",241,106171,3538.7011072,8.03224320000027
0,"cam03_2021-03-19T11_18_20_topright","78E06",10,30122,1003.9962752,0.332991999999876
1,"cam03_2021-03-19T11_18_20_topright","78E06",21,43645,1454.7165824,0.700339199999916
2,"cam03_2021-03-19T11_18_20_topright","78E06",4,55173,1838.9434624,0.133324799999855
3,"cam03_2021-03-19T11_18_20_topright","78E06",430,101056,3368.2187776,14.3320576000001
4,"cam03_2021-03-19T11_18_20_topright","78E06",2918,101945,3397.848896,97.2566271999999
0,"cam03_2021-03-19T11_18_20_bottomleft","78E06",18,306,10.232128,0.599961600000001
1,"cam03_2021-03-19T11_18_20_bottomleft","78E06",101,15431,514.347136,3.36632320000001
2,"cam03_2021-03-19T11_18_20_bottomleft","78E06",11,15536,517.846464,0.376243199999976
3,"cam03_2021-03-19T11_18_20_bottomleft","78E06",9,15562,518.7133056,0.299955199999999
4,"cam03_2021-03-19T11_18_20_bottomleft","78E06",112,19957,665.1979264,3.73296640000001
5,"cam03_2021-03-19T11_18_20_bottomleft","78E06",6,20078,669.2308608,0.19998720000001
6,"cam03_2021-03-19T11_18_20_bottomleft","78E06",137,24418,813.882752,4.56611840000005
7,"cam03_2021-03-19T11_18_20_bottomleft","78E06",10,24565,818.7820672,0.333286399999906
8,"cam03_2021-03-19T11_18_20_bottomleft","78E06",152,27452,915.0053888,5.06615039999997
9,"cam03_2021-03-19T11_18_20_bottomleft","78E06",117,42423,1413.9874176,3.89987840000003
10,"cam03_2021-03-19T11_18_20_bottomleft","78E06",100,55331,1844.2096,3.3330304000001
11,"cam03_2021-03-19T11_18_20_bottomleft","78E06",102,60898,2029.756928,3.39950080000017
12,"cam03_2021-03-19T11_18_20_bottomleft","78E06",194,66232,2207.53856,6.46599680000008
13,"cam03_2021-03-19T11_18_20_bottomleft","78E06",528,81578,2719.0192,17.5983744
14,"cam03_2021-03-19T11_18_20_bottomleft","78E06",165,82583,2752.5157888,5.50973439999962
15,"cam03_2021-03-19T11_18_20_bottomleft","78E06",235,86196,2872.9364352,7.83269120000023
16,"cam03_2021-03-19T11_18_20_bottomleft","78E06",324,89253,2974.82592,10.7991551999999
17,"cam03_2021-03-19T11_18_20_bottomleft","78E06",207,90878,3028.9869824,6.89930239999967
18,"cam03_2021-03-19T11_18_20_bottomleft","78E06",335,97494,3249.4975232,11.1653632000002
19,"cam03_2021-03-19T11_18_20_bottomleft","78E06",173,99032,3300.7590912,5.76607999999987
20,"cam03_2021-03-19T11_18_20_bottomleft","78E06",11,106221,3540.367424,0.366655999999693
21,"cam03_2021-03-19T11_18_20_bottomleft","78E06",435,106239,3540.9673984,14.4985088000003
0,"cam03_2021-03-19T11_18_20_bottomright","78E06",100,34817,1160.4800896,3.33327359999998
1,"cam03_2021-03-19T11_18_20_bottomright","78E06",3,34958,1165.179648,0.100006399999984
2,"cam03_2021-03-19T11_18_20_bottomright","78E06",5,34973,1165.679552,0.166515200000049
3,"cam03_2021-03-19T11_18_20_bottomright","78E06",1,48615,1620.3659008,0.0333184000000983
4,"cam03_2021-03-19T11_18_20_bottomright","78E06",25,48638,1621.1324288,0.833344000000124
5,"cam03_2021-03-19T11_18_20_bottomright","78E06",139,48678,1622.4657024,4.63284480000016
6,"cam03_2021-03-19T11_18_20_bottomright","78E06",230,48850,1628.1984256,7.66590719999999
7,"cam03_2021-03-19T11_18_20_bottomright","78E06",102,49102,1636.5975552,3.39970560000006
8,"cam03_2021-03-19T11_18_20_bottomright","78E06",23,49220,1640.5305216,0.766591999999946
9,"cam03_2021-03-19T11_18_20_bottomright","78E06",1094,49398,1646.4635264,36.4631168000001
10,"cam03_2021-03-19T11_18_20_bottomright","78E06",55,50497,1683.0927104,1.83312640000008
11,"cam03_2021-03-19T11_18_20_bottomright","78E06",7,50557,1685.092544,0.233305599999994
12,"cam03_2021-03-19T11_18_20_bottomright","78E06",4,50565,1685.3592064,0.13349119999998
13,"cam03_2021-03-19T11_18_20_bottomright","78E06",135,50570,1685.5258496,4.4995328
14,"cam03_2021-03-19T11_18_20_bottomright","78E06",30,50708,1690.1253888,0.999615999999833
15,"cam03_2021-03-19T11_18_20_bottomright","78E06",8,50741,1691.2255488,0.266956800000116
16,"cam03_2021-03-19T11_18_20_bottomright","78E06",3,50766,1692.05856,0.0999295999999958
17,"cam03_2021-03-19T11_18_20_bottomright","78E06",6,50780,1692.5251328,0.199871999999914
18,"cam03_2021-03-19T11_18_20_bottomright","78E06",820,50788,1692.7917696,27.3301888000001
19,"cam03_2021-03-19T11_18_20_bottomright","78E06",3,55187,1839.4099328,0.0999936000000616
20,"cam03_2021-03-19T11_18_20_bottomright","78E06",135,58979,1965.7968896,4.49945600000001
21,"cam03_2021-03-19T11_18_20_bottomright","78E06",4,59128,1970.7630336,0.133337599999777
22,"cam03_2021-03-19T11_18_20_bottomright","78E06",14,61196,2039.689216,0.466419200000019
23,"cam03_2021-03-19T11_18_20_bottomright","78E06",64,64708,2156.743808,2.13314559999981
24,"cam03_2021-03-19T11_18_20_bottomright","78E06",91,67472,2248.8676224,3.0330240000003
25,"cam03_2021-03-19T11_18_20_bottomright","78E06",4194,68424,2280.5978496,139.7855488
26,"cam03_2021-03-19T11_18_20_bottomright","78E06",2614,72657,2421.6830848,87.1244799999999
27,"cam03_2021-03-19T11_18_20_bottomright","78E06",198,76756,2558.3024256,6.59937279999986
28,"cam03_2021-03-19T11_18_20_bottomright","78E06",120,76965,2565.2684032,3.99973120000004
29,"cam03_2021-03-19T11_18_20_bottomright","78E06",911,77099,2569.734464,30.3635328
30,"cam03_2021-03-19T11_18_20_bottomright","78E06",84,78025,2600.5979392,2.79989759999989
31,"cam03_2021-03-19T11_18_20_bottomright","78E06",5480,78115,2603.5979008,182.647616
32,"cam03_2021-03-19T11_18_20_bottomright","78E06",161,83937,2797.6442496,5.36614400000008
33,"cam03_2021-03-19T11_18_20_bottomright","78E06",2,84126,2803.9435904,0.0666624000000411
34,"cam03_2021-03-19T11_18_20_bottomright","78E06",50,84268,2808.6764416,1.66649599999982
35,"cam03_2021-03-19T11_18_20_bottomright","78E06",4,84324,2810.5428992,0.133119999999963
36,"cam03_2021-03-19T11_18_20_bottomright","78E06",126,85213,2840.1731712,4.19983360000015
37,"cam03_2021-03-19T11_18_20_bottomright","78E06",35,85351,2844.7727232,1.16642559999991
38,"cam03_2021-03-19T11_18_20_bottomright","78E06",213,85869,2862.0377216,7.09927679999964
39,"cam03_2021-03-19T11_18_20_bottomright","78E06",839,90252,3008.1227904,27.9637631999999
40,"cam03_2021-03-19T11_18_20_bottomright","78E06",15,108606,3619.8597504,0.500031999999919
0,"cam07_2021-03-19T10_08_06_topleft","78E06",18,2859,95.7554048,0.6080896
1,"cam07_2021-03-19T10_08_06_topleft","78E06",21,6798,227.2058624,0.696396800000002
2,"cam07_2021-03-19T10_08_06_topleft","78E06",47,8071,269.662336,1.56616960000002
3,"cam07_2021-03-19T10_08_06_topleft","78E06",6,8129,271.5951488,0.201279999999997
4,"cam07_2021-03-19T10_08_06_topleft","78E06",28,12123,404.8818944,0.935679999999991
5,"cam07_2021-03-19T10_08_06_topleft","78E06",80,13802,461.008448,2.66640640000003
6,"cam07_2021-03-19T10_08_06_topleft","78E06",146,16920,565.1026304,4.86694399999999
7,"cam07_2021-03-19T10_08_06_topleft","78E06",80,18722,625.2327936,2.65853440000001
8,"cam07_2021-03-19T10_08_06_topleft","78E06",21,18809,628.1260032,0.700979200000006
9,"cam07_2021-03-19T10_08_06_topleft","78E06",122,23406,781.7441536,4.13593600000002
10,"cam07_2021-03-19T10_08_06_topleft","78E06",154,27342,913.3987328,5.13259520000008
11,"cam07_2021-03-19T10_08_06_topleft","78E06",185,28141,940.0960768,6.16691200000002
12,"cam07_2021-03-19T10_08_06_topleft","78E06",8,28338,946.6651648,0.266355200000021
13,"cam07_2021-03-19T10_08_06_topleft","78E06",264,29061,970.7932928,8.8322048
14,"cam07_2021-03-19T10_08_06_topleft","78E06",116,32156,1074.1515136,3.86690559999988
15,"cam07_2021-03-19T10_08_06_topleft","78E06",1023,34677,1158.3089664,34.0971648
16,"cam07_2021-03-19T10_08_06_topleft","78E06",25,35711,1192.7760512,0.830783999999994
17,"cam07_2021-03-19T10_08_06_topleft","78E06",393,40822,1363.3900928,13.1012479999999
18,"cam07_2021-03-19T10_08_06_topleft","78E06",15,50187,1675.8270976,0.498918400000093
19,"cam07_2021-03-19T10_08_06_topleft","78E06",28,50295,1679.4305664,0.966054400000076
20,"cam07_2021-03-19T10_08_06_topleft","78E06",18,50349,1681.2609152,0.60236800000007
21,"cam07_2021-03-19T10_08_06_topleft","78E06",308,52465,1751.8898304,10.2723712
22,"cam07_2021-03-19T10_08_06_topleft","78E06",302,52779,1762.3587328,10.0610816000001
23,"cam07_2021-03-19T10_08_06_topleft","78E06",900,53454,1784.8545152,29.9944448000001
24,"cam07_2021-03-19T10_08_06_topleft","78E06",813,56370,1882.1107584,27.1011456000001
25,"cam07_2021-03-19T10_08_06_topleft","78E06",10,57206,1909.9728896,0.331315199999835
