region_mp,region_bc,size_mp,size_bc,overlap,overlap mp,overlab bc
"(57, 60)",23,2079,1180,0,0,0
"(57, 60)",25,2079,469,0,0,0
"(57, 60)",28,2079,951,0,0,0
"(57, 60)",29,2079,816,0,0,0
"(57, 60)",31,2079,616,0,0,0
"(57, 60)",32,2079,1681,0,0,0
"(57, 60)",33,2079,1023,0,0,0
"(57, 60)",41,2079,713,0,0,0
"(57, 60)",42,2079,2345,0,0,0
"(57, 60)",43,2079,1109,0,0,0
"(57, 60)",44,2079,460,0,0,0
"(57, 60)",46,2079,606,0,0,0
"(57, 60)",47,2079,772,0,0,0
"(57, 60)",48,2079,1651,0,0,0
"(57, 60)",49,2079,482,0,0,0
"(57, 60)",50,2079,831,0,0,0
"(57, 60)",51,2079,1405,0,0,0
"(57, 60)",52,2079,409,0,0,0
"(57, 60)",53,2079,998,0,0,0
"(57, 60)",54,2079,411,0,0,0
"(57, 60)",55,2079,1113,0,0,0
"(57, 60)",56,2079,535,0,0,0
"(57, 60)",57,2079,1313,0,0,0
"(57, 60)",58,2079,609,0,0,0
"(57, 60)",60,2079,1187,0,0,0
